description,iban,balance,client_id
compte epargne,GI59 OLXA 7VIR CD9B 6BRM SJW,-409.22,1054
compte commun,SI06 2083 1079 2730 309,273.41,1020
compte courant,FR43 3238 9290 82SO M7Z8 BX4D X60,-721.66,1019
compte epargne,RS21 8407 2716 2947 2779 82,642.23,1008
livret A,SA37 98A3 XZ04 S00Y UF3L AIHY,285.44,1048
compte epargne,IL09 8058 1250 8653 3768 199,390.88,1010
compte vie,IT30 L144 6158 711C GRHT 4JEE DSS,501.08,1031
compte courant,FR79 5147 2420 52IR 6SJD CUPN T75,1062.36,1009
compte courant,LT30 8141 5321 9179 2817,660.56,1032
compte vie,RO52 GFBS KOOQ TQNK DNKY NCLT,285.24,1018
compte courant,LB12 2803 UCON BHIE YRMG DTS1 VVCG,1084.22,1032
compte epargne,GB30 RQOS 5334 0895 5389 65,1495.53,1054
livret jeune,FR55 4653 1124 55AZ J4OC GYIN G37,1039.09,1055
compte vie,FO79 3654 5158 6098 92,816.99,1055
livret A,MR83 7239 7332 2879 2342 8146 788,1067.13,1025
compte courant,FO19 4292 8111 3736 85,1414.28,1048
compte vie,KW43 IKKJ WYZ8 1BFU YOMO 6T07 SYDK MR,314.55,1009
compte courant,AT33 1480 8388 9125 1675,-563.15,1034
compte epargne,FO49 1355 8099 2542 21,605.19,1043
livret A,FR31 6251 6132 163E IKL3 GBMY 555,1170.11,1013
compte epargne,SA47 51GR NIOB FUCX GHPP 655E,-852.13,1026
livret A,EE08 5122 0931 6544 4240,-88.53,1031
compte epargne,PL64 4881 8775 2103 8008 8769 7861,352.17,1013
compte vie,AD06 3357 8621 WV5B ENFD 7V1K,-465.19,1025
compte vie,DK57 5671 5598 0210 32,-108.58,1014
compte epargne,SM95 D591 1544 403Q GDSX M7MP 4JO,1124.77,1014
livret A,IE60 ZXKP 0634 8365 0030 52,138.25,1034
compte courant,IL54 0492 1846 7979 6096 200,1783.81,1053
livret jeune,FR11 3011 6200 93FP TD0A 8X1R I06,155.55,1018
livret jeune,MK91 471X BKZ5 ZDWG G97,-191.89,1010
compte commun,PT51 2776 2009 2691 1660 0273 6,1475.26,1034
livret jeune,PT07 6451 0186 1538 9338 5449 6,601.82,1047
livret jeune,GE36 IA26 2410 7892 9393 20,104.44,1020
compte courant,MU96 YRDC 1118 1974 3957 3605 400M IK,1063.58,1040
compte courant,FR78 8435 8872 223U KNWL TIS5 N20,655.98,1012
livret A,FR35 7009 8117 26FQ 1ZWY DZHK Y41,472.62,1031
compte epargne,BH57 LICM LXA0 IUJR N8QU 5D,1211.36,1008
compte epargne,LT21 8378 6056 0773 0749,1013.43,1041
compte epargne,SI30 2505 2123 4566 598,157.02,1045
compte epargne,BR33 2601 1398 5387 2933 5575 132S 5,219.82,1055
livret jeune,LU27 083C J8SM DQMW WTPO,482.73,1009
compte vie,DE30 7429 8239 7435 5941 70,798.64,1048
compte commun,SI73 2488 9336 5421 796,908.26,1023
livret A,SK84 8559 8724 1035 1617 3180,-435.74,1008
compte vie,MC83 4637 6900 419C MNVL CMPG Q64,1429.81,1054
compte courant,NO08 1515 1902 453,404.85,1024
compte epargne,FR54 3426 9196 46UB 2GUW EJW9 I15,-337.17,1032
compte epargne,FR60 7868 6201 17TV FR2T XOZO 560,1474.16,1029
compte courant,KW75 RRYE PBLM NW1S CZN5 GIMD BJGF DZ,559.1,1019
livret jeune,CZ24 0220 5810 9273 3194 2615,1995.49,1024
livret jeune,CR40 0817 3430 0890 8102 5,637.56,1057
livret A,VG39 YUUR 5327 2602 4220 1738,993.76,1024
compte vie,FR36 8616 9045 20SG QMNI QVRJ D45,1461.79,1039
livret jeune,PS14 HSIE CSHE WSRH F5EO KKY7 RWAX P,-279.87,1041
compte vie,FR75 9286 3610 75BV TPCP TPDE R77,-591.96,1015
livret A,DO42 N70B 3163 2235 3558 4763 5859,500.63,1041
compte vie,FR61 6530 6080 19BY WHXA EBWD O86,603.95,1016
livret A,LI10 9868 93HT J1E9 EPGG 5,885.85,1035
compte vie,LB69 9069 DCNJ OVTI DRB0 193C N47A,948.27,1035
compte commun,AE62 4521 4179 0261 7991 627,2102.18,1009
compte vie,CR05 4399 5197 4912 1530 4,393.61,1051
compte courant,NL20 BTWB 4495 9392 76,437.03,1020
compte epargne,IE80 ICDS 8040 0765 7710 47,432.98,1029
compte vie,FR70 9054 8239 05FO 01PJ GSB8 Z55,-768.35,1056
compte vie,FR40 6460 5846 69ON IEOD XGBF V95,-19.25,1047
compte vie,GB52 JILT 9066 9122 5230 98,120.71,1011
livret A,FR12 1977 7458 94IA QTQQ JLJ0 D54,-42.55,1039
livret A,FR72 1457 6911 08HP 0OBC C1BP O83,-52.93,1019
compte vie,SM91 B432 0734 360X EL1U TRMP U31,-134.39,1029
compte courant,FR02 7163 4409 99TO WKF2 YHKH T15,437.75,1031
compte epargne,IE17 DHGP 7069 0694 3724 60,1174.29,1034
compte vie,SM28 J045 3222 6192 7HVP DWZX XOK,231.23,1022
compte courant,SM09 Z247 5127 028C QJIZ QMUK YWD,871.28,1008
livret jeune,PT88 3217 0209 4070 8098 3183 2,91.19,1051
livret jeune,MR67 2632 1675 9274 6718 0618 473,172.35,1015
livret A,FR93 2249 5556 09XW 6OHH IMMK S14,-19.52,1037
livret A,DK14 7930 2263 3902 27,-198.32,1014
livret A,MR10 8392 1970 9003 5205 1774 679,-724.95,1037
livret jeune,TR38 4880 6VBH XAPP 0XDA 5NUE V1,19.42,1040
compte commun,LT51 4712 3580 0921 1717,14.81,1033
compte commun,HU40 8276 4506 5622 2520 8804 5731,1492.09,1028
compte courant,AL70 5642 7780 9RM7 8HCS 7TZG MVND,751.29,1023
livret jeune,CR72 4152 8051 5509 9896 4,199.42,1050
compte courant,BR91 5389 1549 4144 9473 2879 257N K,-325.03,1050
compte commun,GL47 2687 8425 5111 51,311.21,1023
compte vie,LT16 8625 2318 3088 4749,1221.05,1017
livret jeune,GT52 4UML E5EK ZFNB HH4B 9NNR O98B,8.02,1044
compte vie,FR56 2787 1235 32TL R0KN HOH0 Y27,-682.76,1040
compte vie,FR63 5775 1338 40GP T2PS J3VM Y07,355.37,1009
compte vie,LU62 504G IOHS TV22 U58F,1541.36,1048
compte commun,BE58 2913 5570 6009,729.99,1033
livret A,PS39 RGTR 4KEB LD7Y K6TU K02G 2K2W Y,284.69,1055
livret A,FR31 8449 3968 11V1 K0CW MQCN R35,645.76,1041
livret jeune,PS24 ILXA UOWF YTL1 WHCU SYQX OSME I,605.52,1010
compte courant,FR51 2957 5432 154M EWR4 YTPV P18,384.8,1010
livret jeune,MT76 FOON 8880 7QXJ 7TV1 LTHL SYCV T0F,-516.97,1053
compte courant,SK79 2699 7245 8494 1547 1309,479.91,1038
compte vie,FR57 5936 5445 23WG UQJN DYUK U17,1899.04,1047
compte vie,EE66 6354 5518 4981 1895,323.4,1042
compte vie,DO80 COYF 8062 3909 4808 2464 0805,-505.97,1029
compte commun,FR45 2884 5078 72TL YL40 IDTZ H12,600.51,1044
livret jeune,GT17 MJHR VMPA TEAX XPVV AHDP UZAR,579.3,1013
compte commun,LV66 BQDK 06L9 WZBI HLUT 3,-62.86,1028
compte commun,AE04 8585 4856 0713 8782 406,1172.73,1032
compte commun,FR39 0368 9484 79ST CURD BOTR 672,688.34,1014
livret jeune,LI17 5781 7WUC OLHS SN72 U,-915.97,1014
livret A,HR16 6473 3392 4390 6457 0,1023.34,1052
compte epargne,MD70 S33N IKEJ XJDI 0HLA QAUO,-209.83,1021
livret A,SK91 2261 4222 6456 3549 9657,-1192.93,1027
compte vie,IS66 9243 1934 7634 1284 9632 22,393.42,1012
compte commun,BA20 8514 3651 8272 0931,180.02,1024
compte epargne,SK20 4220 3733 8719 7348 6930,531.26,1018
compte commun,FO50 9660 6549 4919 63,934.44,1021
compte vie,SM71 U533 3514 437R JZVD URU9 RMC,1174.58,1031
compte courant,PK81 SEBF VHHY KWPH FGKD GTEL,6.16,1008
compte commun,LT41 7338 3927 1296 9253,1151.28,1016
compte commun,AL82 0735 5862 CPAH XSOC CTBA ELB7,786.79,1020
compte courant,IS39 7625 6482 7171 3404 8122 28,-106.15,1043
compte commun,NO37 6338 9981 561,606.25,1027
livret jeune,BE78 0901 6318 9211,-676.87,1043
compte vie,FR24 9897 6973 05YJ 61RD GMKM Q64,679.89,1056
livret A,GB77 VYZK 8663 2749 4885 78,516.28,1028
livret jeune,PK82 RPQF X2IQ WHQL SFRA B3HO,-563.04,1029
compte epargne,LU92 508S CTUF HYPV 0AOD,194.78,1039
livret A,FR54 1754 5899 12E6 KXNT LQSS C69,1317.53,1014
compte epargne,RO85 BFOO 9KP7 XSBF QXL4 KLNC,1134.77,1016
livret jeune,GT19 K09D H6S6 0I94 FSVH I28S 73QS,-144.41,1032
livret A,HR52 9534 2339 1890 5561 2,1234.14,1036
livret jeune,FR91 9576 2691 69NZ N0CC QLQQ G73,1836.98,1027
compte vie,SE30 2354 5073 2210 2878 4462,-438.83,1036
livret jeune,BE92 6744 3258 7670,520.75,1038
livret jeune,BA69 6254 1252 6789 3040,-577.78,1057
livret A,HU05 2589 3593 5885 0952 9430 7252,28.22,1026
compte vie,GT72 C5XK YADD S2U2 GZFO E7Z0 Q9CM,331.87,1040
livret A,AE74 9969 2125 5370 3670 597,-1152.58,1008
compte courant,GT56 XYVZ BEDP FDM3 DIPY XXSV UGWY,1779.76,1010
livret jeune,GL54 5529 7972 0114 21,1518.18,1013
livret A,BE89 2762 6129 3048,518.43,1055
livret A,GL71 2692 8496 5191 30,1143.15,1046
livret A,MK52 980Z GK25 Y5RB 259,-298.9,1023
compte courant,NO03 3371 6127 069,232.08,1047
compte vie,FR46 2410 4306 84YC B5QZ KQGX E56,127.58,1043
livret jeune,DE73 8185 4617 3549 9172 08,-102.5,1010
compte courant,CY19 0250 3897 LNLF SBAB UTQ1 HHVW,-840.2,1027
compte vie,FO52 2597 1822 2989 62,-32.77,1031
compte courant,TR34 5396 03DH 1MSK YMK0 EF16 9M,1337.33,1032
compte epargne,BG35 UXDS 7490 93RF TFWW AR,927.91,1044
livret A,LU16 734J REHE 22PC EKJ0,670.18,1026
compte vie,PT89 2686 3533 6588 7542 2582 7,-631.46,1012
compte epargne,LV72 YFSG LBXG CTXL 2YCV Q,-56.64,1047
compte vie,BG14 HZVX 8835 61BR 6A8P KD,10.65,1019
compte commun,BE33 6683 2636 8989,-1290.3,1048
livret A,KZ20 866Y MWWQ GDOU AJBT,1484.57,1037
compte courant,MU45 FDJD 0137 7080 0075 9095 881T LW,854.47,1020
compte epargne,RO63 DAPA OJXS DLRW E2YU OVGK,751.17,1023
compte commun,LU84 682J 0MCT T1OJ ISQJ,452.89,1017
livret A,LB19 2466 SNKI CHAR AN86 XTXC HZWM,1877.38,1025
compte commun,GL24 4359 6303 9862 87,936.18,1010
compte commun,FR95 0038 9467 03FQ 4MJX C91V U93,797.22,1053
compte commun,CY16 6252 9008 56WL QTZY JVNH FYDJ,-24.42,1019
compte courant,DE16 1942 7326 8658 5326 17,-752.79,1046
livret jeune,MU91 ZSWA 5301 9485 5975 8664 073R AO,938.3,1010
livret A,GB51 GVYJ 4387 1769 6169 94,277.1,1016
livret A,DE07 6183 6808 2760 9357 30,477.81,1036
compte epargne,FI49 3699 2631 5233 26,770.74,1052
compte epargne,BA10 2102 0836 0527 7846,1358.9,1024
compte epargne,FR92 9813 0428 6193 DZAB HPN4 N99,1146.24,1025
compte epargne,FR63 3901 4101 25NI HTFL HIJZ E81,1131.23,1036
compte courant,GE98 ZK48 7882 2439 6048 76,24.9,1033
compte epargne,BH82 MVYR YNBV JKQC NXQI 7T,-784.31,1032
compte commun,FR80 8534 5967 71YJ H7PE K3NI I34,1973.52,1021
